"Team","G","IP","K.","BB.","HR.9","BABIP","LOB.","LD.","GB.","FB.","HR.FB","EV","WHIP","ERA","FIP","xFIP","SIERA","WAR","O.Swing.","F.Strike.","SwStr.","Zone.","Barrel.","HardHit.","Date"
"DET",3,3,0.555,NA,0,0,NA,0.2,0.2,0,NA,85.7575,0,0,-0.1147,0.8458,0.1123,0.2557,0.529,0.666,0.258,0.433,NA,0.2,2024-03-29
"NYY",3,4,0.111,NA,0,0.5,NA,0.37,0,0.12,NA,87.7697,2,0,2.2186,2.939,3.1797,0.1579,0.352,0.555,0.063,0.276,NA,0.37,2024-03-29
"SDP",4,4,0,NA,2.25,0.2727,0.384,NA,0.636,0.363,0.2,88.1201,1,6.75,4.9686,3.1594,2.7248,0.106,0.31,0.866,0.075,0.452,0.083,0.2,2024-03-29
"COL",4,5.2,0.259,0.074,0,0.4444,0,0.222,0,0.277,NA,91.461,1.7647,9.5294,1.8069,3.0781,3.0055,0.0781,0.285,0.592,0.063,0.495,NA,0,2024-03-29
"PIT",6,6.1,0.19,0.095,0,0.0714,NA,NA,0.785,0.214,NA,83.7662,0.4737,0,3.3765,4.059,3.2179,0.0771,0.586,0.666,0.207,0.452,NA,0.142,2024-03-29
"SFG",3,2,0.181,0.09,0,0.5,0,0.37,0,0.12,NA,88.18,2.5,18,2.7186,3.439,3.6976,0.065,0.363,0.545,0.139,0.232,NA,0.2,2024-03-29
"TOR",3,3,0.416,0.083,0,0.3333,NA,0.333,0.166,0,NA,89.2355,1,0,0.8853,2.3261,1.8893,0.0617,0.333,0.666,0.196,0.352,0.166,0.666,2024-03-29
"WSN",4,4,0,NA,0,0.1818,0.666,0.181,0.272,0.545,NA,83.1072,0.5,2.25,2.4686,4.6298,3.6252,0.0544,0.379,0.666,0.145,0.395,NA,0.181,2024-03-29
"LAD",1,3,0,NA,0,0.1111,NA,0.222,0.111,0.666,NA,86.1345,0.3333,0,2.552,5.4335,6.5736,0.054,0.2,0,0.068,0.545,NA,0.222,2024-03-29
"BOS",4,4,0.437,0.062,2.25,0.2857,0.769,0.2,0.37,0.37,0.333,90.9109,1,4.5,3.7186,1.5492,1.4031,0.053,0.333,0.7,0.169,0.446,0.12,0,2024-03-29
"STL",3,3.2,0.312,0.12,0,0.3333,0,0.222,0.444,0.333,NA,90.6148,1.3636,4.9091,2.1277,3.3065,3.2481,0.0503,0.343,0.62,0.183,0.466,NA,0.333,2024-03-29
"CHW",3,3,0.2,0.083,0,0.1429,NA,0.428,0.571,NA,NA,90.4149,0.6667,0,3.2186,3.2186,2.6601,0.0393,0,0.666,0.195,0.347,NA,0.428,2024-03-29
"CLE",3,3,0.222,NA,0,0,NA,0.142,0.285,0.571,NA,93.992,0,0,1.8853,3.8063,3.415,0.0375,0.4,0.666,0.105,0.342,NA,0.428,2024-03-29
"KCR",3,3,0.187,0.12,0,0.4545,0.714,0.363,0.272,0.363,NA,82.3641,2.3333,6,3.2186,5.1396,4.7728,0.0349,0.2,0.62,0.098,0.344,NA,0.272,2024-03-29
"ARI",4,4,0.23,0.076,0,0.1111,NA,NA,0.888,0.111,NA,84.5553,0.5,0,2.4686,2.8288,1.7268,0.0331,0.2,0.692,0.148,0.468,NA,0.333,2024-03-29
"CIN",2,3,0.454,NA,3,0.2,NA,0.333,0.166,0,0.333,90.9392,0.6667,6,4.2186,1.3261,0.9032,0.0232,0.333,NA,0.127,0.454,NA,0.666,2024-03-29
"MIN",2,2,0.12,0.12,0,0.1667,NA,0.333,0.333,0.333,NA,88.7047,1,0,3.7186,5.1594,5.5287,0.0143,0.315,0.87,0.142,0.457,NA,0.333,2024-03-29
"TEX",4,4,0.277,0.222,0,0.2222,0.833,0.222,0.444,0.333,NA,93.1059,1.5,2.25,3.7186,4.7992,5.2214,0.0078,0.244,0.666,0.098,0.395,NA,0.333,2024-03-29
"OAK",3,5.2,0.166,0.083,0,0.25,0.7,0.187,0.37,0.437,NA,87.0673,1.0588,3.1765,3.9245,5.7043,4.4733,0.0051,0.309,0.583,0.077,0.388,NA,0.37,2024-03-29
"BAL",3,3,0.2,0.2,0,0.1667,0,NA,0.833,0.166,NA,85.1743,1.3333,3,4.2186,4.6989,5.5899,-0.0037,0.153,0.416,0.089,0.303,NA,0,2024-03-29
"SEA",3,4,0.117,NA,2.25,0.2857,0.833,0.333,0.333,0.333,0,85.3425,1.25,4.5,5.4686,4.0196,4.2137,-0.0209,0.459,0.647,0.111,0.412,0.066,0.266,2024-03-29
"TBR",3,3.1,0.133,0,0,0.1429,0.714,0.142,0.428,0.428,NA,83.261,2.1,5.4,7.4186,8.7153,11.2937,-0.06,0.204,0.466,0.088,0.352,0.142,0.285,2024-03-29
"LAA",4,6.1,0.111,0.148,2.8421,0.1111,0.384,0,0.4,0,0,88.955,1.2632,8.5263,8.2713,6.4409,6.1165,-0.1255,0.229,0.37,0.066,0.383,0,0,2024-03-29
"HOU",5,4.1,0.263,0.157,2.0769,0.2,0.869,0.181,0.545,0.272,0.333,87.708,1.3846,4.1538,5.9879,3.9853,4.1323,-0.1626,0.245,0.578,0.105,0.329,0.09,0.272,2024-03-29
"MIA",6,7,0.272,0.181,2.5714,0.3125,0.882,0.277,0,0.222,0,83.8384,1.8571,3.8571,6.9329,4.0419,4.4456,-0.3643,0.242,0.515,0.156,0.453,0.111,0.388,2024-03-29
"CHC",6,5,0.166,0.208,3.6,0.2308,0.972,0.266,0,0.333,0,87.4255,2,3.6,9.8186,6.0594,6.3098,-0.5285,0.293,0.583,0.074,0.38,0.133,0.333,2024-03-29
"SEA",6,6.1,0.259,0.03,1.4211,0.3333,0.909,0.263,0.421,0.315,0.166,87.0958,1.2632,2.8421,3.5344,2.8467,2.7348,0.2722,0.343,0.555,0.142,0.39,0.052,0.315,2024-03-30
"DET",3,3,0.555,NA,0,0,NA,0.2,0.2,0,NA,85.7575,0,0,-0.1147,0.8458,0.1123,0.2557,0.529,0.666,0.258,0.433,NA,0.2,2024-03-30
"PIT",8,11,0.243,0.081,0,0.1667,0.87,0.041,0.7,0.208,NA,83.804,0.6364,0.8182,2.6732,3.3281,2.6223,0.2408,0.455,0.567,0.141,0.4,NA,0.166,2024-03-30
